"year","epa_id","analyte_group","analyte_name_deq","poc","wildfire_impact","site_name","start_date","end_date","parameter_epa","cas_num","n_submitted","n_void","n_obs","n_below_mdl","min_val","mean_val","max_val","sd_val","q10","q50","q90","q95","unts","mol_wght_g_mol","pah_tox_eq_factor","oregon_abc","hr24_rbc_cao","mean_pm25","mdl_min","mdl_mean","mdl_max","quarter_mean_val","nobs_q1","nobs_q2","nobs_q3","nobs_q4","km_mean","mean_ug_m3","max_ug_m3"
"2019","410292129","Carbonyls","Formaldehyde","7","none","Medford - Welch & Jackson",2019-02-20,2019-12-29,"Formaldehyde","50-00-0",41,0,41,0,1.27,3.14146341463415,6.1,1.15786346555976,1.7,3.07,4.39,4.95,"Micrograms/cubic meter (25 C)",NA,NA,"0.2","49",7.43279132791328,0.0773,0.0832926829268293,0.0937,2.88457142857143,5,8,14,14,3.14146341463415,3.14146341463415,6.1
"2019","410292129","Carbonyls","Formaldehyde","7","wildfire","Medford - Welch & Jackson",2019-07-26,2019-07-26,"Formaldehyde","50-00-0",1,0,1,0,16.2,16.2,16.2,NA,16.2,16.2,16.2,16.2,"Micrograms/cubic meter (25 C)",NA,NA,"0.2","49",101.904166666667,0.0832,0.0832,0.0832,16.2,NA,NA,1,NA,16.2,16.2,16.2
"2019","410292129","Carbonyls","Hexaldehyde","7","none","Medford - Welch & Jackson",2019-02-20,2019-12-29,"Hexaldehyde","66-25-1",41,0,41,0,0.0779,0.227917073170732,0.591,0.12134100070141,0.0962,0.217,0.402,0.453,"Micrograms/cubic meter (25 C)",NA,NA,NA,NA,7.43279132791328,0.0193,0.0208268292682927,0.0234,0.2179825,5,8,14,14,0.227917073170732,0.227917073170732,0.591
"2019","410292129","Carbonyls","Hexaldehyde","7","wildfire","Medford - Welch & Jackson",2019-07-26,2019-07-26,"Hexaldehyde","66-25-1",1,0,1,0,0.414,0.414,0.414,NA,0.414,0.414,0.414,0.414,"Micrograms/cubic meter (25 C)",NA,NA,NA,NA,101.904166666667,0.0208,0.0208,0.0208,0.414,NA,NA,1,NA,0.414,0.414,0.414
"2019","410292129","Carbonyls","Isovaleraldehyde","7","none","Medford - Welch & Jackson",2019-02-20,2019-12-29,"Isovaleraldehyde","590-86-3",41,0,41,0,0.0758,0.229265853658537,0.411,0.0873778221568726,0.113,0.218,0.332,0.369,"Micrograms/cubic meter (25 C)",NA,NA,NA,NA,7.43279132791328,0.0386,0.0416487804878049,0.0469,0.211706785714286,5,8,14,14,0.229265853658537,0.229265853658537,0.411
"2019","410292129","Carbonyls","Isovaleraldehyde","7","wildfire","Medford - Welch & Jackson",2019-07-26,2019-07-26,"Isovaleraldehyde","590-86-3",1,0,1,0,0.58,0.58,0.58,NA,0.58,0.58,0.58,0.58,"Micrograms/cubic meter (25 C)",NA,NA,NA,NA,101.904166666667,0.0416,0.0416,0.0416,0.58,NA,NA,1,NA,0.58,0.58,0.58
"2019","410292129","Carbonyls","m-Tolualdehyde","7","none","Medford - Welch & Jackson",2019-02-20,2019-12-29,"m-Tolualdehyde","620-23-5",41,0,41,13,0.00995,0.0384573170731707,0.148,0.0301533156571869,0.0101,0.0343,0.0744,0.0956,"Micrograms/cubic meter (25 C)",NA,NA,NA,NA,7.43279132791328,0.0193,0.0208268292682927,0.0234,0.0355245982142857,5,8,14,14,0.043219512195122,0.0384573170731707,0.148
"2019","410292129","Carbonyls","m-Tolualdehyde","7","wildfire","Medford - Welch & Jackson",2019-07-26,2019-07-26,"m-Tolualdehyde","620-23-5",1,0,1,0,0.232,0.232,0.232,NA,0.232,0.232,0.232,0.232,"Micrograms/cubic meter (25 C)",NA,NA,NA,NA,101.904166666667,0.0208,0.0208,0.0208,0.232,NA,NA,1,NA,0.232,0.232,0.232
"2019","410292129","Carbonyls","o-Tolualdehyde","7","none","Medford - Welch & Jackson",2019-02-20,2019-12-29,"o-Tolualdehyde","529-20-4",41,0,41,33,0.0097,0.0139365853658537,0.0331,0.00756427478670497,0.01,0.0104,0.0297,0.0318,"Micrograms/cubic meter (25 C)",NA,NA,NA,NA,7.43279132791328,0.0193,0.0208268292682927,0.0234,0.0137076785714286,5,8,14,14,0.021680487804878,0.0139365853658537,0.0331
"2019","410292129","Carbonyls","o-Tolualdehyde","7","wildfire","Medford - Welch & Jackson",2019-07-26,2019-07-26,"o-Tolualdehyde","529-20-4",1,0,1,0,0.0515,0.0515,0.0515,NA,0.0515,0.0515,0.0515,0.0515,"Micrograms/cubic meter (25 C)",NA,NA,NA,NA,101.904166666667,0.0208,0.0208,0.0208,0.0515,NA,NA,1,NA,0.0515,0.0515,0.0515
