"epa_id","date","poc","pm_site_epa_id","pm25","pm_nobs","year","month","day","wildfire_impact","proc_date","database","status"
410170123,2017-02-28,3,410170120,1.74166666666667,24,2017,2,28,"none","20220427","aqs","final"
410170123,2017-03-01,3,410170120,5.10833333333333,24,2017,3,1,"none","20220427","aqs","final"
410170123,2017-03-02,3,410170120,3.19166666666667,24,2017,3,2,"none","20220427","aqs","final"
410170123,2017-03-03,3,410170120,2.4625,24,2017,3,3,"none","20220427","aqs","final"
410170123,2017-03-04,3,410170120,1.625,24,2017,3,4,"none","20220427","aqs","final"
410170123,2017-03-05,3,410170120,1.31666666666667,24,2017,3,5,"none","20220427","aqs","final"
410170123,2017-03-06,3,410170120,1.69583333333333,24,2017,3,6,"none","20220427","aqs","final"
410170123,2017-03-07,3,410170120,1.41666666666667,24,2017,3,7,"none","20220427","aqs","final"
410170123,2017-03-08,3,410170120,1.35416666666667,24,2017,3,8,"none","20220427","aqs","final"
410170123,2017-03-09,3,410170120,1.41666666666667,24,2017,3,9,"none","20220427","aqs","final"
410170123,2017-03-10,3,410170120,3.08333333333333,24,2017,3,10,"none","20220427","aqs","final"
410170123,2017-03-11,3,410170120,2.475,24,2017,3,11,"none","20220427","aqs","final"
410170123,2017-03-12,3,410170120,4.97916666666667,24,2017,3,12,"none","20220427","aqs","final"
410170123,2017-03-13,3,410170120,2.45416666666667,24,2017,3,13,"none","20220427","aqs","final"
410170123,2017-03-14,3,410170120,2.94583333333333,24,2017,3,14,"none","20220427","aqs","final"
410170123,2017-03-15,3,410170120,2.04166666666667,24,2017,3,15,"none","20220427","aqs","final"
410170123,2017-03-16,3,410170120,2.4,24,2017,3,16,"none","20220427","aqs","final"
410170123,2017-03-17,3,410170120,3.64583333333333,24,2017,3,17,"none","20220427","aqs","final"
410170123,2017-03-18,3,410170120,2.20416666666667,24,2017,3,18,"none","20220427","aqs","final"
410170123,2017-03-19,3,410170120,2.84583333333333,24,2017,3,19,"none","20220427","aqs","final"
410170123,2017-03-20,3,410170120,3.5375,24,2017,3,20,"none","20220427","aqs","final"
410170123,2017-03-21,3,410170120,4.29583333333333,24,2017,3,21,"none","20220427","aqs","final"
410170123,2017-03-22,3,410170120,1.89166666666667,24,2017,3,22,"none","20220427","aqs","final"
410170123,2017-03-23,3,410170120,2.53333333333333,24,2017,3,23,"none","20220427","aqs","final"
410170123,2017-03-24,3,410170120,1.82916666666667,24,2017,3,24,"none","20220427","aqs","final"
410170123,2017-03-25,3,410170120,1.92083333333333,24,2017,3,25,"none","20220427","aqs","final"
410170123,2017-03-26,3,410170120,2.24166666666667,24,2017,3,26,"none","20220427","aqs","final"
410170123,2017-03-27,3,410170120,1.84583333333333,24,2017,3,27,"none","20220427","aqs","final"
410170123,2017-03-28,3,410170120,2.1625,24,2017,3,28,"none","20220427","aqs","final"
410170123,2017-03-29,3,410170120,1.92916666666667,24,2017,3,29,"none","20220427","aqs","final"
410170123,2017-03-30,3,410170120,2.79583333333333,24,2017,3,30,"none","20220427","aqs","final"
410170123,2017-03-31,3,410170120,3.9,24,2017,3,31,"none","20220427","aqs","final"
410170123,2017-04-01,3,410170120,2.46666666666667,24,2017,4,1,"none","20220427","aqs","final"
410170123,2017-04-02,3,410170120,3.2125,24,2017,4,2,"none","20220427","aqs","final"
410170123,2017-04-03,3,410170120,4.17916666666667,24,2017,4,3,"none","20220427","aqs","final"
410170123,2017-04-04,3,410170120,5.13333333333333,24,2017,4,4,"none","20220427","aqs","final"
410170123,2017-04-05,3,410170120,3.58333333333333,24,2017,4,5,"none","20220427","aqs","final"
410170123,2017-04-06,3,410170120,1.78333333333333,24,2017,4,6,"none","20220427","aqs","final"
410170123,2017-04-07,3,410170120,1.9,24,2017,4,7,"none","20220427","aqs","final"
410170123,2017-04-08,3,410170120,1.99583333333333,24,2017,4,8,"none","20220427","aqs","final"
410170123,2017-04-09,3,410170120,3.65,24,2017,4,9,"none","20220427","aqs","final"
410170123,2017-04-10,3,410170120,2.08333333333333,24,2017,4,10,"none","20220427","aqs","final"
410170123,2017-04-11,3,410170120,4.14583333333333,24,2017,4,11,"none","20220427","aqs","final"
410170123,2017-04-12,3,410170120,2.52916666666667,24,2017,4,12,"none","20220427","aqs","final"
410170123,2017-04-13,3,410170120,1.6875,24,2017,4,13,"none","20220427","aqs","final"
410170123,2017-04-14,3,410170120,2.39166666666667,24,2017,4,14,"none","20220427","aqs","final"
410170123,2017-04-15,3,410170120,2.9375,24,2017,4,15,"none","20220427","aqs","final"
410170123,2017-04-16,3,410170120,3.52083333333333,24,2017,4,16,"none","20220427","aqs","final"
410170123,2017-04-17,3,410170120,1.95,24,2017,4,17,"none","20220427","aqs","final"
410170123,2017-04-18,3,410170120,2.72083333333333,24,2017,4,18,"none","20220427","aqs","final"
410170123,2017-04-19,3,410170120,4.125,24,2017,4,19,"none","20220427","aqs","final"
410170123,2017-04-20,3,410170120,2.32083333333333,24,2017,4,20,"none","20220427","aqs","final"
410170123,2017-04-21,3,410170120,2.29583333333333,24,2017,4,21,"none","20220427","aqs","final"
410170123,2017-04-22,3,410170120,2.025,24,2017,4,22,"none","20220427","aqs","final"
410170123,2017-04-23,3,410170120,1.92916666666667,24,2017,4,23,"none","20220427","aqs","final"
410170123,2017-04-24,3,410170120,1.47916666666667,24,2017,4,24,"none","20220427","aqs","final"
410170123,2017-04-25,3,410170120,1.75416666666667,24,2017,4,25,"none","20220427","aqs","final"
410170123,2017-04-26,3,410170120,1.54166666666667,24,2017,4,26,"none","20220427","aqs","final"
410170123,2017-04-27,3,410170120,1.8625,24,2017,4,27,"none","20220427","aqs","final"
410170123,2017-04-28,3,410170120,2.875,24,2017,4,28,"none","20220427","aqs","final"
410170123,2017-04-29,3,410170120,2.7875,24,2017,4,29,"none","20220427","aqs","final"
410170123,2017-04-30,3,410170120,2.14166666666667,24,2017,4,30,"none","20220427","aqs","final"
410170123,2017-05-01,3,410170120,2.725,24,2017,5,1,"none","20220427","aqs","final"
410170123,2017-05-02,3,410170120,2.51666666666667,24,2017,5,2,"none","20220427","aqs","final"
410170123,2017-05-03,3,410170120,3.65,24,2017,5,3,"none","20220427","aqs","final"
410170123,2017-05-04,3,410170120,6.0125,24,2017,5,4,"none","20220427","aqs","final"
410170123,2017-05-05,3,410170120,2.11666666666667,24,2017,5,5,"none","20220427","aqs","final"
410170123,2017-05-06,3,410170120,2,24,2017,5,6,"none","20220427","aqs","final"
410170123,2017-05-07,3,410170120,3.9,24,2017,5,7,"none","20220427","aqs","final"
410170123,2017-05-08,3,410170120,4.175,24,2017,5,8,"none","20220427","aqs","final"
410170123,2017-05-09,3,410170120,4.94166666666667,24,2017,5,9,"none","20220427","aqs","final"
410170123,2017-05-10,3,410170120,8.62916666666667,24,2017,5,10,"none","20220427","aqs","final"
410170123,2017-05-11,3,410170120,4.425,24,2017,5,11,"none","20220427","aqs","final"
410170123,2017-05-12,3,410170120,1.69583333333333,24,2017,5,12,"none","20220427","aqs","final"
410170123,2017-05-13,3,410170120,1.75,24,2017,5,13,"none","20220427","aqs","final"
410170123,2017-05-14,3,410170120,1.7375,24,2017,5,14,"none","20220427","aqs","final"
410170123,2017-05-15,3,410170120,2.04583333333333,24,2017,5,15,"none","20220427","aqs","final"
410170123,2017-05-16,3,410170120,1.43333333333333,24,2017,5,16,"none","20220427","aqs","final"
410170123,2017-05-17,3,410170120,1.475,24,2017,5,17,"none","20220427","aqs","final"
410170123,2017-05-18,3,410170120,1.92916666666667,24,2017,5,18,"none","20220427","aqs","final"
410170123,2017-05-19,3,410170120,2.51666666666667,24,2017,5,19,"none","20220427","aqs","final"
410170123,2017-05-20,3,410170120,2.90416666666667,24,2017,5,20,"none","20220427","aqs","final"
410170123,2017-05-21,3,410170120,2.97916666666667,24,2017,5,21,"none","20220427","aqs","final"
410170123,2017-05-22,3,410170120,3.47916666666667,24,2017,5,22,"none","20220427","aqs","final"
410170123,2017-05-23,3,410170120,21.5833333333333,24,2017,5,23,"none","20220427","aqs","final"
410170123,2017-05-24,3,410170120,2.2,24,2017,5,24,"none","20220427","aqs","final"
410170123,2017-05-25,3,410170120,2.90416666666667,24,2017,5,25,"none","20220427","aqs","final"
410170123,2017-05-26,3,410170120,4.025,24,2017,5,26,"none","20220427","aqs","final"
410170123,2017-05-27,3,410170120,10.5166666666667,24,2017,5,27,"none","20220427","aqs","final"
410170123,2017-05-28,3,410170120,4.49166666666667,24,2017,5,28,"none","20220427","aqs","final"
